,precision,recall,f1-score,support
1,1.0,1.0,1.0,20.0
2V,1.0,1.0,1.0,20.0
3,1.0,1.0,1.0,20.0
4,1.0,0.9,0.9473684210526315,20.0
5,1.0,1.0,1.0,20.0
6,1.0,1.0,1.0,20.0
7,1.0,1.0,1.0,20.0
8,1.0,1.0,1.0,20.0
9,1.0,0.95,0.9743589743589743,20.0
A,1.0,1.0,1.0,19.0
B,0.9090909090909091,1.0,0.9523809523809523,20.0
C,1.0,1.0,1.0,20.0
D,1.0,1.0,1.0,20.0
E,1.0,1.0,1.0,19.0
F,0.9523809523809523,1.0,0.975609756097561,20.0
G,1.0,1.0,1.0,20.0
H,1.0,1.0,1.0,20.0
I,1.0,1.0,1.0,20.0
ILOVEYOU,1.0,1.0,1.0,20.0
K,1.0,1.0,1.0,20.0
L,1.0,1.0,1.0,20.0
M,1.0,1.0,1.0,20.0
N,1.0,1.0,1.0,20.0
O,1.0,1.0,1.0,20.0
OK,1.0,1.0,1.0,20.0
P,1.0,1.0,1.0,20.0
Q,1.0,1.0,1.0,20.0
R,1.0,1.0,1.0,20.0
S,1.0,1.0,1.0,20.0
T,1.0,1.0,1.0,20.0
U,1.0,1.0,1.0,20.0
W,1.0,1.0,1.0,20.0
X,1.0,1.0,1.0,20.0
Y,1.0,1.0,1.0,20.0
accuracy,0.995575221238938,0.995575221238938,0.995575221238938,0.995575221238938
macro avg,0.9959256429844665,0.9955882352941177,0.9955799442320623,678.0
weighted avg,0.9959136242322084,0.995575221238938,0.9955669057194726,678.0
